2016-10-18T02:03:42.153+0300 I CONTROL  [signalProcessingThread] dbexit:  rc: 0
2016-11-04T20:01:11.418+0300 I CONTROL  [main] ***** SERVER RESTARTED *****
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] MongoDB starting : pid=22531 port=27017 dbpath=/Users/Stegges/GoProjects/src/github.com/perkovec/AnChatBotGo/./data/db/ 64-bit host=stegges.local
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] db version v3.2.10
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] git version: 79d9b3ab5ce20f51c272b4411202710a082d0317
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2j  26 Sep 2016
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] allocator: system
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] modules: none
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] build environment:
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten]     distarch: x86_64
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten]     target_arch: x86_64
2016-11-04T20:01:11.489+0300 I CONTROL  [initandlisten] options: { config: "./mongod.conf", processManagement: { fork: false }, storage: { dbPath: "./data/db/", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "./data/mongod.log" } }
2016-11-04T20:01:11.491+0300 I -        [initandlisten] Detected data files in /Users/Stegges/GoProjects/src/github.com/perkovec/AnChatBotGo/./data/db/ created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2016-11-04T20:01:11.492+0300 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-11-04T20:01:13.294+0300 I CONTROL  [initandlisten] 
2016-11-04T20:01:13.295+0300 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2016-11-04T20:01:13.359+0300 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2016-11-04T20:01:13.361+0300 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/Stegges/GoProjects/src/github.com/perkovec/AnChatBotGo/./data/db/diagnostic.data'
2016-11-04T20:01:13.372+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2016-11-04T20:01:28.082+0300 I CONTROL  [signalProcessingThread] got signal 2 (Interrupt: 2), will terminate after current cmd ends
2016-11-04T20:01:28.082+0300 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
2016-11-04T20:01:28.088+0300 I CONTROL  [signalProcessingThread] now exiting
2016-11-04T20:01:28.088+0300 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
2016-11-04T20:01:28.088+0300 I NETWORK  [signalProcessingThread] closing listening socket: 6
2016-11-04T20:01:28.088+0300 I NETWORK  [signalProcessingThread] closing listening socket: 7
2016-11-04T20:01:28.088+0300 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
2016-11-04T20:01:28.088+0300 I NETWORK  [signalProcessingThread] shutdown: going to flush diaglog...
2016-11-04T20:01:28.088+0300 I NETWORK  [signalProcessingThread] shutdown: going to close sockets...
2016-11-04T20:01:28.088+0300 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
2016-11-04T20:01:28.184+0300 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
2016-11-04T20:01:28.184+0300 I CONTROL  [signalProcessingThread] dbexit:  rc: 0
